cycle,candidate_feature,candidate_cluster,candidate_cluster_reason,candidate_weakness_score,candidate_mean_abs_shap,candidate_perm_delta_prauc,candidate_max_abs_corr,candidate_vif,active_feature_count_before,mean_average_precision_before,mean_average_precision_after,mean_balanced_accuracy_before,mean_balanced_accuracy_after,mean_auroc_before,mean_auroc_after,mean_brier_before,mean_brier_after,test_average_precision_before,test_average_precision_after,test_balanced_accuracy_before,test_balanced_accuracy_after,test_auroc_before,test_auroc_after,test_brier_before,test_brier_after,accepted,delta_average_precision,delta_balanced_accuracy,delta_auroc,delta_brier,ap_standard_error,ap_acceptance_tolerance
1,checkpoint,corr_cluster_1,high_correlation,0.9050237635787151,0.0013959148000236051,0.004309606798106755,0.8661394301027112,inf,61,0.2293511144320424,0.20573743375837034,0.5132035647279549,0.5,0.6997045912309091,0.6882007674624524,0.1108245085716715,0.15689149879284364,0.13707146186021682,0.10065461094443405,0.5,0.5172413793103449,0.7640833048822123,0.6295948560373279,0.06289459710899514,0.24659253971384829,False,-0.02361368067367204,-0.013203564727954975,-0.011503823768456795,0.046066990221172166,0.02317483220941829,0.02317483220941829
1,cumul_pressures_lost,corr_cluster_6,high_correlation,0.8898594794961535,0.005330807353181971,0.004685042564860575,0.9382343819968463,inf,61,0.2293511144320424,0.2202341081479194,0.5132035647279549,0.5045028142589119,0.6997045912309091,0.7055215049972801,0.1108245085716715,0.10120651596632523,0.13707146186021682,0.10055093820734722,0.5,0.5,0.7640833048822123,0.7159440081939228,0.06289459710899514,0.2054791841281401,False,-0.009117006284122986,-0.008700750469043145,0.0058169137663708625,-0.009617992605346258,0.00912850863722406,0.00912850863722406
1,cumul_pressures_applied,corr_cluster_6,high_correlation,0.888977427678809,0.008305916935659515,0.0052643780328774994,0.9382343819968463,inf,61,0.2293511144320424,0.2229413633517052,0.5132035647279549,0.4996951219512195,0.6997045912309091,0.7035563602811314,0.1108245085716715,0.10258976493378287,0.13707146186021682,0.09993411837422733,0.5,0.5,0.7640833048822123,0.7223455104131102,0.06289459710899514,0.20843340418934547,False,-0.006409751080337214,-0.013508442776735463,0.0038517690502224144,-0.008234743637888623,0.027264106295061718,0.027264106295061718
1,checkpoint_period,corr_cluster_1,high_correlation,0.8673575754152626,0.011582981645510245,0.00936902242340111,0.8661394301027112,inf,61,0.2293511144320424,0.20306265469861817,0.5132035647279549,0.5,0.6997045912309091,0.716392478957443,0.1108245085716715,0.15372208559455566,0.13707146186021682,0.1124883223258851,0.5,0.5122908842608399,0.7640833048822123,0.7513941049277341,0.06289459710899514,0.062344740755052024,False,-0.026288459733424197,-0.013203564727954975,0.016687887726533873,0.04289757702288416,0.016375939615876033,0.016375939615876033
1,cumul_times_pressured,corr_cluster_4,high_correlation,0.8655177848481588,0.009681483449183697,0.003151947838649652,0.9229492350595426,inf,61,0.2293511144320424,0.21116448872804644,0.5132035647279549,0.5045028142589119,0.6997045912309091,0.6937681414477896,0.1108245085716715,0.09377070323877813,0.13707146186021682,0.09610612180932765,0.5,0.5,0.7640833048822123,0.7376522134972118,0.06289459710899514,0.22530883298674806,False,-0.01818662570399597,-0.008700750469043145,-0.0059364497831194685,-0.017053805332893364,0.020984137609929048,0.020984137609929048
1,cumul_pressures_won,corr_cluster_6,high_correlation,0.8637205025700054,0.012123372032573868,0.008402769227685028,0.8702331243533188,inf,61,0.2293511144320424,0.21721720986501353,0.5132035647279549,0.5,0.6997045912309091,0.7079802751628927,0.1108245085716715,0.10129402283281891,0.13707146186021682,0.09955735526234655,0.5,0.5,0.7640833048822123,0.7220894503243429,0.06289459710899514,0.20840402270197497,False,-0.012133904567028841,-0.013203564727954975,0.008275683931983635,-0.009530485738852592,0.013859335777963059,0.013859335777963059
1,last_15_times_pressured,,,0.7919490857466547,0.004944707767157733,0.0007013823060386809,0.0,inf,61,0.2293511144320424,0.21273107105945754,0.5132035647279549,0.512593808630394,0.6997045912309091,0.7050496757480358,0.1108245085716715,0.0837592551428536,0.13707146186021682,0.09534480366300156,0.5,0.5,0.7640833048822123,0.7363150108114259,0.06289459710899514,0.22532085139082156,True,-0.01662004337258486,-0.0006097560975609762,0.005345084517126619,-0.027065253428817906,0.017936459847680997,0.017936459847680997
2,checkpoint,corr_cluster_1,high_correlation,0.907636841031592,0.002005681051520797,1.8094999814297075e-06,0.8661394301027112,inf,60,0.21273107105945754,0.15621842335207514,0.512593808630394,0.5,0.7050496757480358,0.6776123370712827,0.0837592551428536,0.21400535199866516,0.09534480366300156,0.12390507708442097,0.5,0.4991749174917492,0.7363150108114259,0.7594742232843974,0.22532085139082156,0.0627423922389748,False,-0.056512647707382374,-0.012593808630393999,-0.027437338676753104,0.1302460968558116,0.03583054134890857,0.03583054134890857
2,checkpoint_period,corr_cluster_1,high_correlation,0.8790451758815967,0.010650526728120405,0.0014698118155311857,0.8661394301027112,inf,60,0.21273107105945754,0.21314276747470037,0.512593808630394,0.5,0.7050496757480358,0.7054466778599234,0.0837592551428536,0.1315564368336753,0.09534480366300156,0.17730065601075995,0.5,0.5,0.7363150108114259,0.7158586548310003,0.22532085139082156,0.23054414898569833,True,0.00041169641524283623,-0.012593808630393999,0.0003970021118877287,0.0477971816908217,0.025544961636084364,0.025544961636084364
3,last_15_pressures_applied,corr_cluster_4,high_correlation,0.8901308363899363,0.0025225653642394546,-0.000577914299907667,0.8682880657662376,inf,59,0.21314276747470037,0.19715495435840827,0.5,0.5,0.7054466778599234,0.6968970485911894,0.1315564368336753,0.14816789506204325,0.17730065601075995,0.1003039086599622,0.5,0.5,0.7158586548310003,0.6233925116649596,0.23054414898569833,0.2429811697395878,False,-0.015987813116292094,0.0,-0.008549629268733983,0.016611458228367966,0.01803706718001224,0.01803706718001224
